tick,x,y,heading,bearing,distance,forward_cmd,turn_cmd,yaw_rate,reward,seed
1,0.5676414301541998,0.01437416434306302,0.0007878397009335458,-0.32307279109954834,7.984053701537951,0.05587115690160096,0.035899469665783855,0.03926776349544525,-0.000542876472993328,20000000
2,0.7059972812629904,-0.11960864169825405,-0.06008134409785271,-0.2515435218811035,7.810828009378715,0.8511078007202924,0.014371775522499686,-3.043459415435791,0.1632256921592361,20000000
3,0.8365643009374997,-0.09594263051808813,-0.024945329874753952,-0.29481041431427,7.694060000195492,0.8945797844108909,0.07383434650464388,1.7568007707595825,0.10676800918322261,20000000
4,1.0061425232393275,0.030661520302397306,0.028230085968971252,-0.37089136242866516,7.574860441299234,0.9096648988070216,0.022843318821225256,2.658770799636841,0.10919955889625822,20000000
5,1.18705708789874,-0.028657436817344915,-0.07249386608600616,-0.2708331346511841,7.384534330104183,0.734968998577228,-0.15187097198612742,-5.036197662353516,0.18032611119505115,20000000
6,1.3485397258981044,-0.14480284203199453,-0.15310710668563843,-0.18257294595241547,7.193589079637773,0.6270299948151131,0.08572238272627442,-4.0306620597839355,0.18094525046640952,20000000
7,1.5806587107257546,-0.2140828147755211,-0.06513968855142593,-0.2721298336982727,6.951612637769376,0.7289870287621696,0.19858317861912506,4.39837121963501,0.23197644186839717,20000000
8,1.7454597894747204,-0.07416621944994767,0.002647166606038809,-0.36717647314071655,6.844939271047734,0.7115732086807606,0.11053522488986778,3.389342784881592,0.09667336672164219,20000000
9,2.043011647950054,-0.04741295048982439,-0.06551218777894974,-0.3189454674720764,6.577782945823934,0.6895018998838411,-0.22261082687180983,-3.407968044281006,0.25715632522379983,20000000
10,2.1490423733115986,-0.2151695027198293,-0.16042454540729523,-0.20599688589572906,6.41761789255414,0.5975543313468623,-0.08225281659788791,-4.745617866516113,0.150165053269794,20000000
11,2.4737594482792447,-0.30879782225503527,-0.10971809923648834,-0.2614600956439972,6.080980967187961,0.5596149651709126,0.4071393768013799,2.535322904586792,0.3266369253661787,20000000
12,2.5926903678755924,-0.2012646286009373,-0.04734845459461212,-0.3476802110671997,6.0108624639387065,0.5728225180404694,0.3925104578118389,3.1184821128845215,0.060118503249254614,20000000
13,2.889534389266568,-0.19562035292891902,-0.1262078881263733,-0.2896305024623871,5.740294696825026,0.8403932910658242,-0.10149039662721104,-3.942971706390381,0.2605677671136808,20000000
14,3.0020081021840745,-0.3698450589213679,-0.2316722869873047,-0.1637016087770462,5.568192858100208,0.7316369604377069,-0.08398841942745688,-5.273219108581543,0.1621018387248181,20000000
15,3.366244563472234,-0.5525328241567985,-0.2140403687953949,-0.17584951221942902,5.161771113780493,0.5782436435631417,0.39237304189286737,0.8815957903862,0.3964217443197142,20000000
16,3.5236234419857433,-0.44487430621118507,-0.15480177104473114,-0.26659688353538513,5.059634331616397,0.4678757939467892,0.4652205563824055,2.9619300365448,0.09213678216409595,20000000
17,3.785968869808991,-0.39435562878454455,-0.19997894763946533,-0.25309911370277405,4.843333634230964,0.7756062929519149,-0.19326187096238834,-2.258859395980835,0.20630069738543333,20000000
18,3.9393991982099283,-0.603054412524941,-0.30993616580963135,-0.11703610420227051,4.615601734444599,0.7189828605743893,-0.21836572115639408,-5.497861385345459,0.21773189978636487,20000000
19,4.193093271276343,-0.8450752718429999,-0.3067573308944702,-0.09332558512687683,4.286007839132082,0.6467680934045239,0.31898450384905025,0.1589422971010208,0.3195938953125175,20000000
20,4.437063961217259,-0.7294892275116802,-0.21457035839557648,-0.23453985154628754,4.1112640649413015,0.8438727539608821,0.11523819813206482,4.609349250793457,0.16474377419078023,20000000
21,4.758175673388767,-0.6087313907272068,-0.22419118881225586,-0.2888922095298767,3.8823662245535844,0.842946270758199,-0.13729845280288883,-0.4810412526130676,0.2188978403877171,20000000
22,4.916780148016514,-0.868567271424739,-0.34676092863082886,-0.12527848780155182,3.6196883024962356,0.7963252979350999,-0.17674470175982243,-6.128487586975098,0.25267792205734874,20000000
23,5.135214090783784,-1.166235281944889,-0.3480125665664673,-0.07367322593927383,3.2939659871308273,0.6621142690352607,0.3076963902711046,-0.06258006393909454,0.3157223153654083,20000000
24,5.405738820785516,-1.0711219559474097,-0.2526041269302368,-0.2329939901828766,3.0923826723547743,0.8257624898582487,0.13496247130781164,4.770420074462891,0.19158331477605306,20000000
25,5.749673938012619,-0.9306089792592974,-0.2541658282279968,-0.33089879155158997,2.867966064708137,0.8686574040229542,-0.11329379661481725,-0.0780855268239975,0.21441660764663717,20000000
