generation,wall_s,mean_fitness,max_fitness,train_success_rate,theta_norm,eval_success_rate,eval_mean_reward,eval_mean_time_to_target,eval_mean_collision_ticks
0,108.3,-3.0067789649336327,8.90108331977228,0.125,10.232520900097814,0.0,-6.531626961272184,,0.0
1,59.9,-6.312595832464538,-0.006552678894918562,0.0,10.506914771089575,,,,
2,64.4,-11.437324725340568,4.226046700382489,0.03125,10.68867234138757,,,,
3,80.9,-9.485131718029152,-0.5322388488118159,0.0,10.822576843064658,,,,
4,90.6,-11.021277874733398,-1.610581368235203,0.0,10.948366022856007,,,,
5,123.5,-12.956730290104074,1.6816242451634569,0.0,11.0585931098251,0.09090909090909091,-2.346405919753232,2.6399999999999997,0.0
6,84.0,-9.746280687319329,2.9750673773789664,0.0,11.146795166880164,,,,
7,82.2,-3.775231617470255,4.465292063740761,0.03125,11.215496766115706,,,,
8,86.6,-3.5710167714555245,5.701390196363928,0.0625,11.28004370408118,,,,
9,78.5,-2.509342903547366,5.620608202261934,0.03125,11.344580736792299,,,,
10,114.4,-1.4613443279060405,7.039405427663421,0.09375,11.397295984674809,0.13636363636363635,2.5949685658771657,2.506666666666667,0.0
11,69.5,-1.6670866038733543,2.1196613733418745,0.0,11.452601704701868,,,,
12,71.7,-1.7807596186993442,0.03162772965978955,0.0,11.517985744116137,,,,
13,64.4,-2.8162427213928423,2.1413847967474844,0.0625,11.583939121698798,,,,
14,70.2,0.48275757479522874,7.060722636370901,0.03125,11.661710159072188,,,,
15,117.7,-4.209178111333592,6.690248160302695,0.03125,11.731486124667004,0.045454545454545456,2.1329381572457637,1.36,0.0
16,79.9,-1.7874891072848278,0.9271234563175352,0.0,11.803083074016094,,,,
17,72.6,-0.9795155567612072,1.0446506906364648,0.0,11.86356249495681,,,,
18,82.8,-0.2281564710741873,7.921055028024952,0.125,11.92558536098987,,,,
19,74.8,4.372035747459649,8.766375390188413,0.1875,11.984623799471294,,,,
20,119.0,7.199431748528323,12.440263028273609,0.3125,12.044340267609963,0.13636363636363635,3.3750528859404185,1.6333333333333335,0.0
21,85.4,-1.8437378805548121,6.687769462140844,0.03125,12.09408499206797,,,,
22,83.0,-1.6175647504893815,6.844157798337096,0.09375,12.139558886936008,,,,
23,82.6,-3.396020485259704,-0.5968782866886414,0.0,12.194830733246192,,,,
24,75.6,3.1522505125652795,8.475652299731639,0.15625,12.248478098868185,,,,
25,120.0,-3.7845206534913336,0.4529600674337237,0.0,12.302886744124654,0.13636363636363635,3.3541397439616034,1.4400000000000002,0.0
26,78.5,1.1417592446186342,8.249558714022468,0.0625,12.364234274529023,,,,
27,80.8,-1.574461163720383,0.7818041618081295,0.0,12.41389743644369,,,,
28,63.9,4.559178621014555,8.903525818171884,0.21875,12.463142137390397,,,,
29,72.2,0.90134175604543,7.194643301535567,0.09375,12.51604150194555,,,,
30,124.7,2.322225144511557,8.653346234138699,0.03125,12.565702102139793,0.3181818181818182,5.877116118956505,1.42,0.0
31,80.8,1.119164371303535,8.821647784733702,0.15625,12.60956931180619,,,,
32,86.7,-1.7290487087603619,7.948566209448327,0.0625,12.653813297889748,,,,
33,73.0,0.7241776756791818,8.683673076437127,0.125,12.69125741579281,,,,
34,80.5,0.07157362204403839,8.677474884292518,0.0625,12.731664051262594,,,,
35,126.4,-1.2596234437955791,7.576960377601697,0.03125,12.780576386193383,0.36363636363636365,6.280450146751798,1.3225,0.0
36,84.8,-1.2655933796687748,9.024252986466738,0.03125,12.833764947004626,,,,
37,71.4,2.546370823954211,11.382442159914874,0.03125,12.893449788636365,,,,
38,76.0,3.1957118097447745,8.402799910794997,0.0625,12.947706547216553,,,,
39,76.1,0.545203927985692,10.943477909133291,0.0625,13.002987450312988,,,,
40,110.4,2.79530641194999,8.82323481737929,0.15625,13.050828585942025,0.3181818181818182,6.328237098535695,1.422857142857143,0.0
41,80.4,-1.4509518998611322,9.366831348572681,0.03125,13.098468443054067,,,,
42,71.6,-1.981833488984444,3.791458919942256,0.0,13.14378924301051,,,,
43,55.9,12.181756678048874,17.96980940349295,0.59375,13.188979149560124,,,,
44,67.3,0.9302172622316491,3.438566649072798,0.0,13.234762162898118,,,,
45,115.2,6.127090011557929,10.09831010252828,0.21875,13.285464256550034,0.09090909090909091,3.3444362546242776,1.2400000000000002,0.0
46,74.6,1.056390801525536,10.245127176748259,0.03125,13.333568599568833,,,,
47,78.5,-0.8216372185920662,2.989580213622803,0.0,13.384402325105329,,,,
48,,,,,,0.09090909090909091,3.1414819946989123,1.1600000000000001,0.0
