generation,candidate,sign,success,steps_to_target,time_to_target,distance_traveled,collision_ticks,collision_onsets,reward,initial_distance,final_distance,flipped,ticks,seed
0,0,1,True,120,2.4,17.027578263521463,0,0,15.500725673334946,7.615114941723648,0.914389268388708,False,120,0
0,0,1,False,,,26.10902190541875,0,0,0.30552820538503567,10.152347547978732,8.346819342593706,False,150,1
0,0,-1,False,,,8.033528602617245,0,0,-2.2882695408150866,7.615114941723648,8.403384482538737,False,150,0
0,0,-1,False,,,3.376387044431204,0,0,-2.4184970971203668,10.152347547978732,11.070844645099102,False,150,1
0,1,1,False,,,51.361998784612545,0,0,-21.4911963727223,7.615114941723648,27.60631131444592,False,150,0
0,1,1,True,113,2.2600000000000002,32.27066427529629,0,0,18.032074714300656,10.152347547978732,0.9902728336780791,False,113,1
0,1,-1,False,,,28.24823154620388,0,0,-11.673456984116152,7.615114941723648,17.788571925839822,False,150,0
0,1,-1,False,,,3.9530261391296833,0,0,-1.071724776987579,10.152347547978732,9.72407232496631,False,150,1
0,2,1,False,,,3.8271471537754813,0,0,-2.854082422863939,7.615114941723648,8.9691973645876,False,150,0
0,2,1,False,,,57.212830132753304,0,0,-39.80994561459624,10.152347547978732,48.46229316257495,False,150,1
0,2,-1,False,,,16.611086549940083,0,0,4.304705520716661,7.615114941723648,1.8104094210069939,False,150,0
0,2,-1,False,,,17.098391293088685,0,0,2.707999264142276,10.152347547978732,5.944348283836465,False,150,1
0,3,1,False,,,42.40393085006975,0,0,1.1616769444200885,7.615114941723648,4.953437997303582,False,150,0
0,3,1,False,,,41.91483158075657,0,0,2.9622058400143407,10.152347547978732,5.690141707964394,False,150,1
0,3,-1,True,94,1.8800000000000001,14.09577214663255,0,0,15.845253364633107,7.615114941723648,0.8298615770905476,False,94,0
0,3,-1,False,,,8.442089480997788,0,0,-2.443746429335468,10.152347547978732,11.096093977314204,False,150,1
0,4,1,True,70,1.4000000000000001,14.206331495544484,0,0,15.982782093819077,7.615114941723648,0.9323328479045744,False,70,0
0,4,1,False,,,12.644076673927716,0,0,1.819384545725481,10.152347547978732,6.8329630022532495,False,150,1
0,4,-1,False,,,56.33531322117831,0,0,-35.68553326850419,7.615114941723648,41.80064821022778,False,150,0
0,4,-1,False,,,53.764802919822266,0,0,-22.793062634525825,10.152347547978732,31.44541018250452,False,150,1
0,5,1,False,,,3.147955510565102,0,0,-2.096229450400549,7.615114941723648,8.211344392124197,False,150,0
0,5,1,False,,,1.781087614351233,0,0,-1.534853952142963,10.152347547978732,10.187201500121693,False,150,1
0,5,-1,False,,,48.130675289539646,0,0,-11.50033568680539,7.615114941723648,17.61545062852906,False,150,0
0,5,-1,False,,,37.7304860702154,0,0,-3.064353788412375,10.152347547978732,11.716701336391107,False,150,1
0,6,1,False,,,2.085794561600723,0,0,-1.983184027108003,7.615114941723648,8.09829896883165,False,150,0
0,6,1,False,,,3.777181306608663,0,0,-2.5932323178164136,10.152347547978732,11.245579865795152,False,150,1
0,6,-1,False,,,12.074915682634984,0,0,-0.5838918622800956,7.615114941723648,6.6990068040037425,False,150,0
0,6,-1,False,,,23.33092661024762,0,0,1.2396449057671506,10.152347547978732,7.412702642211593,False,150,1
0,7,1,False,,,9.17765353513162,0,0,0.9380905460479905,7.615114941723648,5.177024395675656,False,150,0
0,7,1,False,,,6.988176009560331,0,0,-2.866232667566566,10.152347547978732,11.518580215545311,False,150,1
0,7,-1,False,,,10.917803792755382,0,0,-3.3206472520024937,7.615114941723648,9.435762193726156,False,150,0
0,7,-1,False,,,23.74980077566976,0,0,-4.944522350061066,10.152347547978732,13.596869898039806,False,150,1
1,0,1,False,,,10.818406543497288,0,0,0.2363947631838495,7.872305478935019,6.1359107157511685,False,150,1000
1,0,1,False,,,11.576316147476046,0,0,-0.24950012097368662,6.294548299982861,5.044048420956547,False,150,1001
1,0,-1,False,,,12.431675110209733,0,0,0.7297342381620682,7.872305478935019,5.642571240772949,False,150,1000
1,0,-1,False,,,7.105189953001363,0,0,-1.226434915792381,6.294548299982861,6.0209832157752405,False,150,1001
1,1,1,False,,,5.175124081887014,0,0,0.08619557809713035,7.872305478935019,6.286109900837888,False,150,1000
1,1,1,False,,,38.59110159232373,0,0,-11.068278480600714,6.294548299982861,15.862826780583596,False,150,1001
1,1,-1,False,,,12.279347195245892,0,0,-0.8578365259019906,7.872305478935019,7.230142004837008,False,150,1000
1,1,-1,False,,,13.465795251403657,0,0,-0.40957491221420367,6.294548299982861,5.2041232121970635,False,150,1001
1,2,1,False,,,13.868106545225837,0,0,-0.8850181654252749,7.872305478935019,7.257323644360293,False,150,1000
1,2,1,False,,,29.93809536395439,0,0,-6.326944229548197,6.294548299982861,11.121492529531078,False,150,1001
1,2,-1,False,,,9.403262748934969,0,0,-1.235498052809672,7.872305478935019,7.60780353174469,False,150,1000
1,2,-1,False,,,21.725786123544555,0,0,-3.325957662058088,6.294548299982861,8.120505962040959,False,150,1001
1,3,1,False,,,37.71134125284992,0,0,-17.20855870834598,7.872305478935019,23.580864187281005,False,150,1000
1,3,1,False,,,37.4240734899536,0,0,-15.317600476465346,6.294548299982861,20.112148776448226,False,150,1001
1,3,-1,False,,,15.846132363072462,0,0,0.9065480013524649,7.872305478935019,5.4657574775825735,False,150,1000
1,3,-1,False,,,54.93914826457385,0,0,-36.75534364810265,6.294548299982861,41.54989194808547,False,150,1001
1,4,1,False,,,6.988086239074267,0,0,-0.045302672576207605,7.872305478935019,6.417608151511225,False,150,1000
1,4,1,False,,,7.569415322423569,0,0,-3.0679937505472044,6.294548299982861,7.862542050530078,False,150,1001
1,4,-1,False,,,12.750823342102562,0,0,-0.06863439223854098,7.872305478935019,6.440939871173559,False,150,1000
1,4,-1,False,,,10.874325303048682,0,0,-0.9815239229628949,6.294548299982861,5.776072222945754,False,150,1001
1,5,1,False,,,7.428185755407476,0,0,2.3980965418965923,7.872305478935019,3.974208937038455,False,150,1000
1,5,1,False,,,53.77453371822678,0,0,-32.64261363364862,6.294548299982861,37.43716193363141,False,150,1001
1,5,-1,False,,,17.94444475067508,0,0,-9.948508801315302,7.872305478935019,16.320814280250346,False,150,1000
1,5,-1,False,,,21.92483040331521,0,0,-3.4912276279361913,6.294548299982861,8.285775927919056,False,150,1001
1,6,1,False,,,18.953927818823228,0,0,-11.625808010116078,7.872305478935019,17.99811348905112,False,150,1000
1,6,1,False,,,23.632619223596997,0,0,-6.053143089070451,6.294548299982861,10.847691389053322,False,150,1001
1,6,-1,False,,,9.304719158439378,0,0,1.9475804160437584,7.872305478935019,4.424725062891259,False,150,1000
1,6,-1,False,,,42.43194017324185,0,0,-29.29604708908555,6.294548299982861,34.090595389068355,False,150,1001
1,7,1,False,,,13.853378811585092,0,0,-3.8287837887997904,7.872305478935019,10.201089267734831,False,150,1000
