tick,x,y,heading,bearing,distance,forward_cmd,turn_cmd,yaw_rate,reward,seed
1,0.5741511619165206,0.009603423533097835,0.004618999548256397,-0.32659512758255005,7.976368449919891,-0.18846857765362804,0.48160725305043406,0.2308257520198822,0.007142375145066779,20000000
2,0.6788442855033375,0.011309157921418823,-0.04088335856795311,-0.28550365567207336,7.877671701895342,0.5191222779802156,0.402528527083227,-2.275117874145508,0.08869674802454842,20000000
3,0.6707584909665679,0.06747450095380278,-0.061388492584228516,-0.2714017629623413,7.903500544176531,0.44819474032628953,0.5431091335238298,-1.025256633758545,-0.03582884228118854,20000000
4,0.7295900132502008,0.08847621552444215,-0.078428715467453,-0.25933539867401123,7.854854874592067,0.38634955175373914,0.6057366212252872,-0.8520112037658691,0.03864566958446392,20000000
5,1.0559525890214392,-0.05524587979187491,-0.2603309452533722,-0.07377256453037262,7.499356306493904,0.40834921902933763,0.5799376159946225,-9.095111846923828,0.34549856809816304,20000000
6,1.1629992306384147,-0.037541570858822704,-0.29460594058036804,-0.04649747163057327,7.404215880833206,0.4127528358812955,0.569061174244229,-1.7137494087219238,0.08514042566069759,20000000
7,1.1779395398303771,0.00605764535146093,-0.3229968249797821,-0.0243302620947361,7.404864871964431,0.482716615969186,0.49731243227528654,-1.4195446968078613,-0.010648991131225074,20000000
8,1.0953156892954212,0.10394016920348319,-0.2909518778324127,-0.06487882137298584,7.51614447658,0.5055955872341447,0.4865734985353163,1.602247714996338,-0.12127960461556885,20000000
9,1.2331579521945706,-0.04629371307313445,-0.36715176701545715,0.02397315390408039,7.335187241030039,0.8333369363650436,-0.12115126165716239,-3.809995174407959,0.17095723554996112,20000000
10,1.419729058306887,-0.2541661135356097,-0.5075275301933289,0.18310295045375824,7.090796718586102,0.8027485135718243,0.18386047088288715,-7.018786430358887,0.2343905224439371,20000000
11,1.6595953694084489,-0.3213546069805561,-0.4796849191188812,0.15339295566082,6.842037894829596,0.4969448080996481,0.4991332493854051,1.3921284675598145,0.23875882375650614,20000000
12,1.725757149448849,-0.38841746407816846,-0.4383016526699066,0.11827152222394943,6.758003625981317,0.7042167612524878,-0.12042174807207684,2.069164276123047,0.0740342688482787,20000000
13,1.9849909416571119,-0.4738500932332573,-0.45502907037734985,0.13492822647094727,6.485055510465283,0.6014395119674614,-0.3887725485393102,-0.8363723158836365,0.2629481155160336,20000000
14,2.1688117356060665,-0.6042911801906072,-0.47002431750297546,0.16044598817825317,6.269874349930413,0.7406054509984143,-0.08392565652317835,-0.7497616410255432,0.20518116053487012,20000000
15,2.2164681976687235,-0.7380851647800908,-0.5508445501327515,0.2595241963863373,6.184752920310238,0.7089047982251558,0.17331800984668266,-4.041011333465576,0.075121429620175,20000000
16,2.465885287217013,-0.9449363974426908,-0.4579274654388428,0.1880936622619629,5.887792731135403,0.5414573579801384,0.45353242734615895,4.64585542678833,0.28696018917483523,20000000
17,2.667230830580964,-0.8764306580511191,-0.41917768120765686,0.1283911168575287,5.713248562680279,0.8063501435291625,-0.1289178641399475,1.937487244606018,0.16454416845512365,20000000
18,2.9371123698962496,-0.9878940287984654,-0.4650702476501465,0.17970654368400574,5.422819547034904,0.6166250459381389,-0.38076787426633335,-2.294625997543335,0.28042901564537526,20000000
19,2.966488543289262,-1.1540949463867554,-0.5556051135063171,0.29850882291793823,5.349982038074134,0.8246750121592425,0.07441471363284363,-4.526742458343506,0.06283750896077024,20000000
20,3.1259298409621676,-1.0439415412187334,-0.5913102626800537,0.30606669187545776,5.225860281377582,0.49589994949382615,0.5003259386523098,-1.7852587699890137,0.11412175669655224,20000000
21,3.3623472452694645,-1.1803707796577139,-0.5587429404258728,0.28647905588150024,4.961023667047891,0.5788560513894547,0.39612725901992996,1.6283652782440186,0.25483661432969096,20000000
22,3.4944348801026663,-1.18723578846544,-0.5524144172668457,0.27416789531707764,4.832041920835745,0.6696474087553472,-0.22448517028380832,0.3164278566837311,0.11898174621214587,20000000
23,3.7031655901895855,-1.367603143068591,-0.5607661604881287,0.30785325169563293,4.583268464256907,0.6406385597686195,-0.3162232301176069,-0.4175880551338196,0.23877345657883775,20000000
24,3.876294321042561,-1.461589132342741,-0.5715552568435669,0.3294965624809265,4.3923884361067955,0.6719819733737211,-0.14326107185266052,-0.5394555926322937,0.1808800281501115,20000000
25,4.018961506571837,-1.7607689672516798,-0.5306685566902161,0.34980785846710205,4.190010286126206,0.7211559515792518,0.010891075916185211,2.0443334579467773,0.19237814998058922,20000000
26,4.14989815427165,-1.584723661335478,-0.4211423099040985,0.192252978682518,4.0976008502549535,0.6424384922390307,-0.22395315420531928,5.476314544677734,0.08240943587125284,20000000
27,4.507135742677738,-1.6360751846812291,-0.41070446372032166,0.1735105663537979,3.7381578235281796,0.6128498773048578,-0.3853257594964683,0.5218914747238159,0.34944302672677385,20000000
28,4.639787312200191,-1.7924402205943433,-0.4664565920829773,0.26306864619255066,3.574520670363937,0.5235427992654311,-0.4348033677404955,-2.7876060009002686,0.15363715316424265,20000000
29,4.775684948657879,-2.0123122815335432,-0.44163843989372253,0.29350465536117554,3.402204700609522,0.6578776899304817,0.3082117795930117,1.2409074306488037,0.16231596975441476,20000000
30,4.983642625044057,-1.89037329082633,-0.3126780688762665,0.11751238256692886,3.2180803625694834,0.7157945702761519,-0.03108011259754201,6.4480180740356445,0.1741243380400388,20000000
31,5.31676418971383,-1.7982401283686469,-0.2820446193218231,0.033653855323791504,2.9132757701159866,0.6577432468955925,-0.3402273106817121,1.5316741466522217,0.29480459245349677,20000000
32,5.489727202612065,-1.9793563517170472,-0.33627623319625854,0.13709820806980133,2.70436888695609,0.5714681574744429,-0.4242786473199715,-2.711581230163574,0.19890688315989657,20000000
33,5.644528411687679,-2.201491510886599,-0.3056083917617798,0.18087925016880035,2.5156441215511274,0.7859759160899884,0.1810298056506931,1.5333917140960693,0.17872476540496263,20000000
34,5.862330362433045,-2.1027060126298838,-0.1951718032360077,0.016376271843910217,2.315206747675124,0.7172831263079382,-0.017857601413546642,5.5218281745910645,0.19043737387600346,20000000
35,6.187877279973111,-1.9559713449557559,-0.1655551791191101,-0.11300584673881531,2.031044715179936,0.6720600637087912,-0.32563986223656616,1.4808313846588135,0.2741620324951881,20000000
36,6.433784709105953,-2.0494222865455094,-0.1971033364534378,-0.06889089941978455,1.76905975255921,0.665531472394417,-0.32797526123602083,-1.5774075984954834,0.2519849626207258,20000000
