success,steps_to_target,time_to_target,distance_traveled,collision_ticks,collision_onsets,reward,initial_distance,final_distance,flipped,ticks,seed
False,,,37.69016591565209,41,6,-17.48421947103779,7.993510825064957,3.4777302961027377,False,150,20000000
False,,,29.113340925825288,0,0,1.7150280956646982,9.119189125199199,5.9041610295344995,False,150,20000001
False,,,5.634441430827562,138,2,-69.30772542177286,6.55992429772596,5.367649719498787,False,150,20000002
False,,,26.814010517262055,60,3,-26.063367629815225,9.445931800142175,4.009299429957396,False,150,20000003
False,,,27.91615954808003,22,2,-9.501675520304953,7.517713822544156,4.51938934284911,False,150,20000004
False,,,24.733559402353222,36,5,-13.880176607194707,8.193424596630653,2.573601203825361,False,150,20000005
False,,,17.633301572295007,37,1,-16.030033979215055,9.156783170103347,5.696817149318398,True,99,20000006
False,,,6.430484735876661,144,2,-72.72933407277519,5.760341183484346,4.989675256259503,False,150,20000007
False,,,29.37817093725312,33,8,-16.321360802258845,7.934698796348548,6.256059598607391,False,150,20000008
False,,,14.413029305554218,127,13,-60.39121477842529,6.8294337522612905,2.220648530686593,False,150,20000009
False,,,27.036726366578534,53,5,-24.564919103114413,8.30886444870778,4.873783551822186,False,150,20000010
True,27,0.54,8.212780371648337,0,0,15.956469261919466,7.154461665732207,0.9279924038127415,False,27,20000011
False,,,28.678113334916624,23,3,-8.312166560386606,7.370961660971782,2.6831282213583885,False,150,20000012
False,,,28.487928666189717,40,4,-18.32906669341856,8.298035193508717,5.127101886927276,False,150,20000013
False,,,29.11617764851591,7,2,-2.1760300242982575,7.905915360485305,5.081945384783562,False,150,20000014
False,,,27.881673636671923,0,0,0.222593200497204,8.129587756147496,6.40699455565029,False,150,20000015
False,,,34.68098284818356,84,14,-42.12989802313046,7.899733280425887,6.529631303556343,False,150,20000016
False,,,29.931769055094986,43,4,-21.61756253173667,7.77029685122001,6.387859382956675,False,150,20000017
False,,,7.925128530395855,136,7,-66.455673082219,5.567529177288772,2.523202259507742,False,150,20000018
False,,,26.606418431609058,18,3,-4.447332054151305,8.042937324292643,1.9902693784439462,False,150,20000019
False,,,10.356438444790996,131,2,-62.214872896774075,8.794407458923494,4.009280355697564,False,150,20000020
False,,,28.71717293167683,134,9,-68.0367445047432,5.522545397832203,5.05928990257542,False,150,20000021
True,33,0.66,7.73720643785568,0,0,15.257759443923987,6.341596701968583,0.7538372580445951,False,33,20000022
False,,,21.511927392414453,0,0,0.02964813796687117,7.107377778680274,5.577729640713401,False,150,20000023
False,,,31.321607372441758,53,14,-26.659305549597423,8.511536606858057,7.170842156455473,False,150,20000024
False,,,34.328779528286134,53,2,-26.99888947091105,8.583225837774748,7.582115308685788,False,150,20000025
False,,,30.360335069550974,69,13,-33.57447705133717,9.411821185002157,6.986298236339325,False,150,20000026
False,,,25.22638491243962,5,1,-1.5170227009580457,7.244358577198519,4.761381278156564,False,150,20000027
False,,,22.995985578384193,112,8,-54.9388124838952,7.155834489444655,4.594646973339841,False,150,20000028
True,37,0.74,8.199372303193757,0,0,15.26044277900007,6.394811996052588,0.764369217052521,False,37,20000029
False,,,32.552018434979104,41,4,-15.517310975174253,9.412168322226542,2.9294792974007953,False,150,20000030
False,,,11.660427434994695,23,1,-11.974516023467828,8.746797339305987,8.861313362773817,True,36,20000031
False,,,7.129442519939311,23,1,-9.727229737448159,5.7645345954950304,3.701764332943192,True,29,20000032
True,138,2.7600000000000002,29.4100173415171,1,1,13.969722858250545,6.64422500217461,0.7945021439240656,False,138,20000033
True,90,1.8,19.79996172137217,0,0,15.320080249427164,7.180478313106706,0.9603980636795412,False,90,20000034
False,,,23.498037663336078,34,1,-12.877044075729941,9.967015174768125,4.34405925049807,False,150,20000035
False,,,23.931256137028505,30,2,-14.067191266208855,8.137592521658373,5.704783787867229,False,150,20000036
False,,,25.030197137586825,39,7,-17.33600950060149,7.812673585604763,4.148683086206259,False,150,20000037
False,,,27.36915367694712,66,2,-32.792829373708955,7.970969881420623,6.263799255129574,False,150,20000038
False,,,25.022218086639842,127,6,-60.59079957581902,8.294181970430149,3.884981546249153,False,150,20000039
False,,,25.7331780687415,0,0,0.6398931810950956,8.240074593481566,6.100181412386469,False,150,20000040
False,,,24.330876397916548,28,4,-11.570605482408197,8.938223429553288,5.008828911961486,False,150,20000041
False,,,32.113883445574274,23,3,-9.687586281300318,8.651658428557704,5.339244709858045,False,150,20000042
False,,,28.699799415800523,0,0,-0.3274112516082428,10.328338801159004,9.155750052767246,False,150,20000043
