generation,candidate,sign,success,steps_to_target,time_to_target,distance_traveled,collision_ticks,collision_onsets,reward,initial_distance,final_distance,flipped,ticks,seed
0,0,1,False,,,10.793961872642473,0,0,-5.063304620955818,7.615114941723648,11.178419562679482,False,150,0
0,0,1,False,,,6.487552551852831,0,0,-3.1716459196264375,10.152347547978732,11.823993467605183,False,150,1
0,0,-1,False,,,1.0042661825848358,0,0,-1.619172329910339,7.615114941723648,7.734287271633986,False,150,0
0,0,-1,False,,,5.658508706944007,0,0,-1.2926378756234673,10.152347547978732,9.944985423602198,False,150,1
0,1,1,False,,,12.117535536064924,0,0,2.731985838171516,7.615114941723648,3.3831291035521422,False,150,0
0,1,1,False,,,11.321346255396143,0,0,1.4456762417050466,10.152347547978732,7.206671306273684,False,150,1
0,1,-1,False,,,14.007829957296101,0,0,-11.213729519271304,7.615114941723648,17.328844460994976,False,150,0
0,1,-1,False,,,9.325595920647123,0,0,-8.36045102273974,10.152347547978732,17.01279857071849,False,150,1
0,2,1,False,,,20.236124986675193,0,0,-16.060827766696136,7.615114941723648,22.175942708419807,False,150,0
0,2,1,False,,,18.024702397285935,0,0,-7.242554354231777,10.152347547978732,15.894901902210535,False,150,1
0,2,-1,False,,,15.210727249515438,0,0,3.6802372883576355,7.615114941723648,2.4348776533660286,False,150,0
0,2,-1,False,,,20.074494793500044,0,0,1.8065033750825055,10.152347547978732,6.845844172896225,False,150,1
0,3,1,False,,,1.2651945716820403,0,0,-1.6243277879054923,7.615114941723648,7.739442729629139,False,150,0
0,3,1,False,,,1.9957786323579083,0,0,-1.8048617455532638,10.152347547978732,10.457209293531994,False,150,1
0,3,-1,False,,,11.742900312847958,0,0,-1.2459706414276328,7.615114941723648,7.361085583151279,False,150,0
0,3,-1,False,,,6.883870593884241,0,0,-2.7310767927754553,10.152347547978732,11.383424340754196,False,150,1
0,4,1,False,,,12.663742500093978,0,0,-0.5564887371479718,7.615114941723648,6.671603678871619,False,150,0
0,4,1,False,,,13.39166527885934,0,0,-1.7989408897480113,10.152347547978732,10.45128843772675,False,150,1
0,4,-1,False,,,10.272139968283826,0,0,-1.3532112971603028,7.615114941723648,7.468326238883959,False,150,0
0,4,-1,False,,,14.307937471594048,0,0,-1.4994689844997455,10.152347547978732,10.151816532478476,False,150,1
0,5,1,False,,,1.4235041145364982,0,0,-1.8673439837728643,7.615114941723648,7.982458925496511,False,150,0
0,5,1,False,,,1.5947825693720608,0,0,-1.5391955602726128,10.152347547978732,10.191543108251343,False,150,1
0,5,-1,False,,,7.157186037414848,0,0,-1.9696898473263629,7.615114941723648,8.08480478905001,False,150,0
0,5,-1,False,,,4.571062069536563,0,0,-1.8877849192289287,10.152347547978732,10.540132467207659,False,150,1
0,6,1,False,,,6.497653339663215,0,0,-3.703679181241722,7.615114941723648,9.818794122965388,False,150,0
0,6,1,False,,,8.111650958299471,0,0,-1.7113697399669097,10.152347547978732,10.36371728794564,False,150,1
0,6,-1,False,,,9.165844525141228,0,0,-2.1391886630039463,7.615114941723648,8.254303604727616,False,150,0
0,6,-1,False,,,19.578841375638106,0,0,-4.527643604149236,10.152347547978732,13.179991152127991,False,150,1
0,7,1,False,,,13.700600373541802,0,0,-1.8962929834377091,7.615114941723648,8.01140792516138,False,150,0
0,7,1,False,,,12.669240403260376,0,0,4.252814000362073,10.152347547978732,4.399533547616676,False,150,1
0,7,-1,False,,,20.110550364735303,0,0,-1.268153572530241,7.615114941723648,7.383268514253888,False,150,0
0,7,-1,False,,,18.07867576931787,0,0,1.3218836134268839,10.152347547978732,7.3304639345518465,False,150,1
1,0,1,False,,,9.115676496556848,0,0,-1.0178194105066078,7.872305478935019,7.390124889441625,False,150,1000
1,0,1,False,,,2.966543024650417,0,0,-1.6810703696367633,6.294548299982861,6.475618669619623,False,150,1001
1,0,-1,False,,,16.099495137558513,0,0,-0.009050737912923004,7.872305478935019,6.381356216847941,False,150,1000
1,0,-1,False,,,19.70492227653975,0,0,-1.0322149345364893,6.294548299982861,5.826763234519349,False,150,1001
1,1,1,False,,,13.66822021090235,0,0,-0.991745902126823,7.872305478935019,7.364051381061845,False,150,1000
1,1,1,False,,,12.030599626400406,0,0,-2.3601465454970336,6.294548299982861,7.154694845479901,False,150,1001
1,1,-1,False,,,14.971739430334612,0,0,-8.405594027486183,7.872305478935019,14.777899506421221,False,150,1000
1,1,-1,False,,,13.868812826275697,0,0,-1.3412503036743533,6.294548299982861,6.135798603657213,False,150,1001
