tick,x,y,heading,bearing,distance,forward_cmd,turn_cmd,yaw_rate,reward,seed
1,0.5791203797498847,-0.0019115676170763929,-0.0194877739995718,-0.3013148307800293,7.968016253226004,0.48067493532306277,0.8835621110592323,-0.9745129346847534,0.015494571838953206,20000000
2,0.8064994399771765,-0.19590555934020307,-0.12363895028829575,-0.1825506091117859,7.691886926204131,0.41421284799741315,0.8775223871797647,-5.207558631896973,0.26612932702187275,20000000
3,0.94760131622853,-0.2219424685859313,-0.08925343304872513,-0.21928144991397858,7.549520350264602,0.2978968392228371,0.8586230609553359,1.719275951385498,0.13236657593952894,20000000
4,1.0491172306813628,-0.085323137449816,-0.06606604903936386,-0.26394784450531006,7.496013380038557,0.5757189355993441,0.9145521241205649,1.1593689918518066,0.04350697022604578,20000000
5,0.9581593922798328,-0.23845853861697655,-0.19563019275665283,-0.1112416461110115,7.534455931073898,0.5104122843930577,0.8960959399541703,-6.478207588195801,-0.04844255103534167,20000000
6,1.2528626638081655,-0.39923944937247413,-0.35623741149902344,0.058282315731048584,7.205238302775295,0.22823249046775035,0.7905854135296324,-8.03036117553711,0.31921762829860323,20000000
7,1.4139743676854726,-0.5932537919520363,-0.37416204810142517,0.09595894068479538,6.995633955462471,0.0830390368691584,0.8093855576592764,-0.8962302803993225,0.1996043473128244,20000000
8,1.5688761193674678,-0.3752599701251117,-0.33268728852272034,0.01799124665558338,6.911156773086083,0.46207153921986777,0.932899433819372,2.073737621307373,0.07447718237638747,20000000
9,1.4274531233533971,-0.4384423945354516,-0.45490628480911255,0.15499037504196167,7.026845363890949,0.5519535461634774,0.9082919530471129,-6.110949516296387,-0.12568859080486594,20000000
10,1.6288283407375643,-0.7225143124477119,-0.6766575574874878,0.4081210792064667,6.753857968200205,0.1846105681258777,0.8264197420292628,-11.087566375732422,0.2629873956907438,20000000
11,1.7620063827209973,-1.000495328192809,-0.7358056306838989,0.5027691721916199,6.555829447482152,-0.19042443613186766,0.7504758261420285,-2.957401990890503,0.18802852071805343,20000000
12,1.9335517748482236,-0.862348052621546,-0.6333457827568054,0.37321215867996216,6.423181734211541,0.29119530062147564,0.932796994211321,5.1229939460754395,0.12264771327061098,20000000
